Lost Art ID;Hersteller/Künstler/Autor:in;Titel;Datierung;Beschreibung;namen_neu;Q_Nummer;datum_neu;datum_alt;spalte
577568;Urbach, Josef [Künstler:in];Familienporträt;1925 [Datierung];Familienportrait;Josef Urbach;Q52150830;1925;0;1
580667;Franck, Philipp (1860) [Künstler:in];Geburtstag;1901 [Datierung];;Philipp Franck;Q2086720;1901;0;1
583607;Hesse, F. [Künstler:in];Dreimastbark auf hoher See;;bezeichnet;F Hesse;;0;0;1
584853;Lawrence, Sir Thomas [Künstler:in];Porträt der Schauspielerin Frau Ashers / Portre van de actrice Mrs. Ashers;1785-1830 [Datierung];"Verso: ""19274""";Sir Thomas Lawrence;Q28048992;1785;0;1
583660;Schwabeda, Johann Michael (zugeschrieben) [Künstler:in];Der Geiger;;Ein beim Glase Wein sitzender Mann spielt beim Licht einer Öllampe auf einer Geige, von einem neben ihm stehenden Knaben belauscht, unbezeichnet;Johann Michael Schwabeda (?);Q18600458;0;0;1
592029;Beyeren, Abraham Hendricksz. van [Künstler:in];Stillleben mit Silberplatte und Glaspokalen, Zitrone, Organge, Trauben und Austern;;doubliert, gerahmt;Abraham Hendricksz van Beyeren;;0;0;1
591203;;Hühner und Küken;;;;Q85221364;0;0;1
596047;Bühler, Hans Adolf [Künstler:in];Die Sklaven;;"Großvater, Vater, Mutter und die Kinder ziehen das Freudenschiff der Reichen; bez. A. B.";Hans Adolf Bühler;Q1578427;0;0;1
534364;Langhammer, Carl (1868) [Künstler:in];Landschaft mit Kühen am Wasser;;Quelle: PL - AP Wrocław, RW, I/16886.;Carl Langhammer;Q1039370;0;0;1
586957;Lindenschmit, Hermann [Künstler:in];Inneres einer Waffenkammer;;mit offenstehender Truhe, auf dem Boden liegen verstreut Rüstungsteile, im Hintergrund Rittermantel und Schwert auf einem Stuhl. Bezeichnet: H. Lindenschmit. S. R.;Hermann Lindenschmit;Q21565069;0;0;1
583598;Flockenhaus, H. [Künstler:in];Winterlandschaft;;bezeichnet;H Flockenhaus;;0;0;1
435705;Slevogt, Max [Künstler:in];Don Quichotte und die Schafherde;1907 [Datierung];"bez.: Slevogt 07 (unten links); Gemälde mit altem geschnitztem Goldrahmen;„Bei Cassirer gibt Slevogt neue Belege seines Schaffens. Wieder erfreut er durch die Leichtigkeit, die allen seinen Werken den Stempel gibt und die in seinen Improvisationen ihren höchsten Reiz entfalten. Sein Don Quichotte, wie er sich anschickt, gegen die Schafherde Sturm zu rennen, ist fast im Stil einiger seiner bekannten Skizzenbuchblätter nur so auf die Leinwand geworfen und dabei doch ganz in sich vollendet. Ein Ausschnitt packender Ursprünglichkeit“(Michels, Wilhelm: Berliner Neueste Nachrichten vom 20.02.1908)";Max Slevogt;;1907;0;1
594432;Saftleven, Herman [Künstler:in];Fantasielandschaft;;mit ruinenhafter Architektur;Herman Saftleven;;0;0;1
583644;Pfannschmidt, Ernst [Künstler:in];Zwei spielende Kinder;;bezeichnet;Ernst Pfannschmidt;Q1359755;0;0;1
576182;Rombouts, Adriaen [Künstler:in];Spielende Bauern bei Karten und Bier;;signiertQuelle: WGA Akte;Adriaen Rombouts;;0;0;1
586409;Kretschmer, H. [Künstler:in];Mädchenbildnis;1880 (um) [Datierung];;H Kretschmer;;0;1880;1
594403;Graff, Anton [Künstler:in];Brustbild eines jungen Mannes;;;Anton Graff;Q310213;0;0;1
308032;Son, Joris van [Künstler:in];Blumenstück;;Dunkler Rahmen, in dem ein Strauß roter, weißer und rosa Blumen und Früchte vor schwarzem Grunde sichtbar wird. In den oberen Ecken blaue Seidenschleifen. Goldrahmen.;Joris van Son;Q6183727;0;0;1
527250;Gauermann, F. [Künstler:in];Zwei Landschaften mit Vieh;1827 [Datierung];signiert und datiert, Gegenstücke;F Gauermann;;1827;0;1
