Lost Art ID;Hersteller/Künstler/Autor:in;Datierung;Beschreibung;namen_neu;Q_Nummer;lat0;long0;lat1;long1;lat2;long2;lat3;long3;lat4;long4;lat5;long5
577568;Urbach, Josef [Künstler:in];1925 [Datierung];Familienportrait;Josef Urbach;Q52150830;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
580667;Franck, Philipp (1860) [Künstler:in];1901 [Datierung];;Philipp Franck;Q2086720;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
583607;Hesse, F. [Künstler:in];;bezeichnet;F Hesse;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
584853;Lawrence, Sir Thomas [Künstler:in];1785-1830 [Datierung];"Verso: ""19274""";Sir Thomas Lawrence;Q28048992;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
583660;Schwabeda, Johann Michael (zugeschrieben) [Künstler:in];;Ein beim Glase Wein sitzender Mann spielt beim Licht einer Öllampe auf einer Geige, von einem neben ihm stehenden Knaben belauscht, unbezeichnet;Johann Michael Schwabeda (?);Q18600458;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
592029;Beyeren, Abraham Hendricksz. van [Künstler:in];;doubliert, gerahmt;Abraham Hendricksz van Beyeren;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
591203;;;;;Q85221364;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
596047;Bühler, Hans Adolf [Künstler:in];;"Großvater, Vater, Mutter und die Kinder ziehen das Freudenschiff der Reichen; bez. A. B.";Hans Adolf Bühler;Q1578427;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
534364;Langhammer, Carl (1868) [Künstler:in];;Quelle: PL - AP Wrocław, RW, I/16886.;Carl Langhammer;Q1039370;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
586957;Lindenschmit, Hermann [Künstler:in];;mit offenstehender Truhe, auf dem Boden liegen verstreut Rüstungsteile, im Hintergrund Rittermantel und Schwert auf einem Stuhl. Bezeichnet: H. Lindenschmit. S. R.;Hermann Lindenschmit;Q21565069;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
583598;Flockenhaus, H. [Künstler:in];;bezeichnet;H Flockenhaus;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
435705;Slevogt, Max [Künstler:in];1907 [Datierung];"bez.: Slevogt 07 (unten links); Gemälde mit altem geschnitztem Goldrahmen;„Bei Cassirer gibt Slevogt neue Belege seines Schaffens. Wieder erfreut er durch die Leichtigkeit, die allen seinen Werken den Stempel gibt und die in seinen Improvisationen ihren höchsten Reiz entfalten. Sein Don Quichotte, wie er sich anschickt, gegen die Schafherde Sturm zu rennen, ist fast im Stil einiger seiner bekannten Skizzenbuchblätter nur so auf die Leinwand geworfen und dabei doch ganz in sich vollendet. Ein Ausschnitt packender Ursprünglichkeit“(Michels, Wilhelm: Berliner Neueste Nachrichten vom 20.02.1908)";Max Slevogt;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
594432;Saftleven, Herman [Künstler:in];;mit ruinenhafter Architektur;Herman Saftleven;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
583644;Pfannschmidt, Ernst [Künstler:in];;bezeichnet;Ernst Pfannschmidt;Q1359755;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
576182;Rombouts, Adriaen [Künstler:in];;signiertQuelle: WGA Akte;Adriaen Rombouts;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
586409;Kretschmer, H. [Künstler:in];1880 (um) [Datierung];;H Kretschmer;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
594403;Graff, Anton [Künstler:in];;;Anton Graff;Q310213;52.516667;13.383333;52.516666666;13.383333333;47.374444444;8.541111111;48.1375;11.575;51.05;13.74;48.368888888;10.897777777
308032;Son, Joris van [Künstler:in];;Dunkler Rahmen, in dem ein Strauß roter, weißer und rosa Blumen und Früchte vor schwarzem Grunde sichtbar wird. In den oberen Ecken blaue Seidenschleifen. Goldrahmen.;Joris van Son;Q6183727;52.516667;13.383333;51.221111111;4.399722222;null;null;null;null;null;null;null;null
527250;Gauermann, F. [Künstler:in];1827 [Datierung];signiert und datiert, Gegenstücke;F Gauermann;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
5000000439;Bol, Ferdinand (wohl Kopie nach) [Künstler:in];;;Ferdinand wohl Bol (?);;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
275988;Liebermann, Max [Künstler:in];1880 [Datierung];Altmännerhaus in Amsterdam - Studie;Max Liebermann;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
573854;Brusasorzi, Domenico [Künstler:in];;Madonna mit dem Jesuskind und Engeln. In der Bildmitte sitzt die große Kniefigur der Madonna in hellrosa Kleid, himmelblauem Mantel und weißem, bläulich changierendem Kopftuch, an einen Felsen gelehnt, das schlafende, nackte Jesuskind auf weißer Windel vor sich haltend. Sankt Joseph links, violett und orangefarben gekleidet, und zwei Engel rechts in rötlich-orangefarbenen bzw. blauen Kleidern, flankieren die Mittelgruppe. Hinten wird in einer Lücke zwischen den Personen der Kopf eines Rindes sichtbar. Quelle: Lempertz Auktion, Gemälde Alter Meister, Porzellan / Fayence, Katalog 403, Lot 5;Domenico Brusasorzi;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
308744;;;"In der Mitte steht Christus, umgeben von fünf Jüngern. Er hält in seiner Hand die fünf Brote, und vor ihm steht ein Knabe mit den beiden Fischen in der Hand. Zu beiden Seiten die anderen Jünger, die an das Volk aus Körben Brot verteilen. Hügelige Landschaft mit Bäumen. Goldrahmen. Gutachten: R. van Marle (""...frühe Zeit des Meisters...""). 29.12.1929";;Q85221364;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
576184;Quast, Pieter Jansz. [Künstler:in];;signiertQuelle: WGA Akte;Pieter Jansz Quast;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
