Lost Art ID;Hersteller/Künstler/Autor:in;Titel;Datierung;Beschreibung;namen_neu;Q_Nummer;datum_neu;anzahl_artworks
577568;Urbach, Josef [Künstler:in];Familienporträt;1925 [Datierung];Familienportrait;Josef Urbach;Q52150830;1925;3.0
580667;Franck, Philipp (1860) [Künstler:in];Geburtstag;1901 [Datierung];;Philipp Franck;Q2086720;1901;2.0
583607;Hesse, F. [Künstler:in];Dreimastbark auf hoher See;;bezeichnet;F Hesse;;;1.0
584853;Lawrence, Sir Thomas [Künstler:in];Porträt der Schauspielerin Frau Ashers / Portre van de actrice Mrs. Ashers;1785-1830 [Datierung];"Verso: ""19274""";Sir Thomas Lawrence;Q28048992;1785;1.0
583660;Schwabeda, Johann Michael (zugeschrieben) [Künstler:in];Der Geiger;;Ein beim Glase Wein sitzender Mann spielt beim Licht einer Öllampe auf einer Geige, von einem neben ihm stehenden Knaben belauscht, unbezeichnet;Johann Michael Schwabeda (?);Q18600458;;1.0
592029;Beyeren, Abraham Hendricksz. van [Künstler:in];Stillleben mit Silberplatte und Glaspokalen, Zitrone, Organge, Trauben und Austern;;doubliert, gerahmt;Abraham Hendricksz van Beyeren;;;2.0
591203;;Hühner und Küken;;;;Q85221364;;
596047;Bühler, Hans Adolf [Künstler:in];Die Sklaven;;"Großvater, Vater, Mutter und die Kinder ziehen das Freudenschiff der Reichen; bez. A. B.";Hans Adolf Bühler;Q1578427;;1.0
534364;Langhammer, Carl (1868) [Künstler:in];Landschaft mit Kühen am Wasser;;Quelle: PL - AP Wrocław, RW, I/16886.;Carl Langhammer;Q1039370;;3.0
586957;Lindenschmit, Hermann [Künstler:in];Inneres einer Waffenkammer;;mit offenstehender Truhe, auf dem Boden liegen verstreut Rüstungsteile, im Hintergrund Rittermantel und Schwert auf einem Stuhl. Bezeichnet: H. Lindenschmit. S. R.;Hermann Lindenschmit;Q21565069;;1.0
583598;Flockenhaus, H. [Künstler:in];Winterlandschaft;;bezeichnet;H Flockenhaus;;;1.0
