genre;anzahl_artworks;namen_neu
Art Nouveau;5.0;Carl Moll, Félix Vallotton, Jules Chéret (?)
Barbizon school;3.0;Albert Heinrich Brendel, Félix Ziem, Théodore Rousseau
Baroque;39.0;Frans Hals, Alessandro Magnasco, Denys Calvaert, Hyacinthe Rigaud, Philipp Peter Roos, Jan Hackaert, Giovanni Paolo Pannini, Adam Pynacker, Gerard de Lairesse, Pieter Boel, Luca Giordano, Peter Paul Rubens, Juriaen van Streeck, Pieter de Hooch, Gerard ter Borch the Younger, Jan Asselijn, Gabriel Metsu, Jusepe de Ribera, Francesco Albani, Adriaen van der Werff (?), Pier Francesco Mola, Jacob Jordaens (?), Hyacinthe Rigaud (?), Peter Paul Rubens (?), Michiel van Musscher, Jacob Jordaens, Mattia Preti
Baroque painting;1.0;Bartolomé Esteban Murillo
Biedermeier;2.0;Ludwig Richter
Caravaggisti;1.0;Artemisia Gentileschi
Classicism;3.0;Nicolas Poussin (?), Nicolas Poussin
Cubism;4.0;Marie Laurencin, Jean Metzinger
Dada;3.0;George Grosz
Dutch Golden Age painting;10.0;Govert Flinck, Jan Steen, Willem Kalf, Aelbert Cuyp, Jan Lievens, Aert van der Neer the Elder (?)
Düsseldorf school of painting;2.0;Oswald Achenbach
Early Netherlandish painting;1.0;Hieronymus Bosch (?)
Expressionism;67.0;Emil Nolde, Max Pechstein, Egon Schiele, Lyonel Feininger, Alexander Kanoldt, Vincent van Gogh, Anton Faistauer, Franz Marc, Max Beckmann, Ernst Ludwig Kirchner, Erich Heckel, Walter Leistikow, Christian Rohlfs, Jan Sluijters, Edvard Munch, Otto Modersohn, Amédée de La Patellière, Jules Pascin, Leo Putz, Oskar Kokoschka, Heinrich Campendonk, Paul Adolf Seehaus, Karl Hofer, Ludwig Meidner
Flemish Baroque painting;7.0;Osias Beert the Younger, Jan Fyt, Jan Fyt (?), Frans Snyders, Frans Snyders (?)
German Romanticism;5.0;Caspar David Friedrich
Hague School;3.0;Bernard de Hoog, Paul Joseph Constantin Gabriël
Impressionism;36.0;Karl Schmidt-Rottluff, Heinrich von Zügel, Lovis Corinth, Henri Matisse, Ulrich Hübner, Armand Guillaumin, Frits Thaulow, Cornelis Vreedenburgh, Alfred Sisley, Gustave Caillebotte, Curt Herrmann, Rudolf von Alt (?)
Japonisme;1.0;James Tissot
Les Nabis;1.0;Pierre Bonnard
Luminism;1.0;Eduard Hildebrandt
Macchiaioli;2.0;Giovanni Boldini
Mannerism;5.0;Jacopo Tintoretto, El Greco
Naturalism;4.0;Rosa Bonheur
Neoclassicism;8.0;Anton Graff, Jacques-Louis David, Anselm Feuerbach, Jacques-Louis David (?)
Norwich school of painters;1.0;John Crome
Orientalism;7.0;Richard Parkes Bonington, Adolf Schreyer, Prosper Marilhat, Henri Regnault
Orientalist painting;1.0;Hans Makart
Post-impressionism;6.0;Paul Cézanne, Henri de Toulouse-Lautrec, Othon Friesz
Pre-romanticism;7.0;Hubert Robert, Hubert Robert (?)
Realism;23.0;Gustave Courbet, Antoine Vollon, Alphonse Legros, William Hogarth, François Bonvin, Gustave Courbet (?), Alfred Stevens
Rococo;16.0;Jean-Baptiste Oudry, Jean-Honoré Fragonard, Giovanni Domenico Tiepolo, Rachel Ruysch, Rachel Ruysch (?), François Boucher, Thomas Gainsborough, Thomas Gainsborough (?)
Romanticism;6.0;Henry Raeburn, Otto Scholderer, Eugène Devéria, Andreas Achenbach, Kazimierz Alchimowicz
School of Paris;5.0;Roland Oudot, Maurice Utrillo
Spanish Renaissance;1.0;Alonso Sánchez Coello
Symbolism;21.0;Hans Thoma, Arnold Böcklin, Edward Burne-Jones, Ludwig von Hofmann, Max Klinger, Hans von Marées
academic art;6.0;Franz Xaver Winterhalter, Thomas Couture
fijnschilder;1.0;Gerrit Dou (?)
metaphysical painting;2.0;Giorgio de Chirico
modern art;1.0;Amedeo Modigliani
pointillism;2.0;Paul Signac
realism;4.0;Honoré Daumier, Willem van Aelst
social realism;1.0;Silvio Giulio Rotta
